SYMBOL,CompanyName,compId,compFormat,linkId
APSCOOTERS,AP Scooters,2,ap-scooters,ap-scooters-2
ABACUSCOMPUTER,Abacus Computer,4,abacus-computer,abacus-computer-4
ACC,ACC,6,acc,acc-6
ADARSHCHEM,Adarsh Chemicals,7,adarsh-chemicals,adarsh-chemicals-7
ADVANCEPETROCH,Advance Petroch.,8,advance-petroch,advance-petroch-8
AEGISCHEM,Aegis Logistics,9,aegis-logistics,aegis-logistics-9
ALFREDHERB,Alfred Herbert,11,alfred-herbert,alfred-herbert-11
ALPINEIND,Alpine Inds.,13,alpine-inds,alpine-inds-13
AMBASARABH,Ambalal Sarabhai,14,ambalal-sarabhai,ambalal-sarabhai-14
AMRUTANJAN,Amrutanjan Healt,17,amrutanjan-healt,amrutanjan-healt-17
ANDHRACEMT,Andhra Cements,19,andhra-cements,andhra-cements-19
IPAPPM,Internat. Paper,20,internat-paper,internat-paper-20
APOLLOTYRE,Apollo Tyres,23,apollo-tyres,apollo-tyres-23
APPLEIND,Apple Finance,24,apple-finance,apple-finance-24
ARAVALISEC,Aravali Sec.&Fin,25,aravali-sec-fin,aravali-sec-fin-25
ARIHANTIND,Arihant Inds.,26,arihant-inds,arihant-inds-26
ARUNASUGAR,Aruna Hotels,28,aruna-hotels,aruna-hotels-28
ARVIND,Arvind Ltd,29,arvind-ltd,arvind-ltd-29
ASHOKLEY,Ashok Leyland,31,ashok-leyland,ashok-leyland-31
ASIANHOTNR,Asian Hotels (N),33,asian-hotels-n,asian-hotels-n-33
ASIANPAINT,Asian Paints,34,asian-paints,asian-paints-34
ASSAMCO,Assam CO. (I),35,assam-co-i,assam-co-i-35
SKFINDIA,SKF India,37,skf-india,skf-india-37
ASOCSTONE,Asi Industries,38,asi-industries,asi-industries-38
ASTRAZEN,Astrazeneca Phar,39,astrazeneca-phar,astrazeneca-phar-39
ATLASCYCLE,Atlas Cycles,42,atlas-cycles,atlas-cycles-42
ATUL,Atul,43,atul,atul-43
AUTOCORP,Auto.Corp.of Goa,44,auto-corp-of-goa,auto-corp-of-goa-44
